lat,long,plot_id,month,year,great_huki_year,assess_date,removal,non-removal,av,as,gs,o,bp,cr,caul,ce,chon,cm,dc,da,ds,dict,gc,gp,gr,hal,hh,hyd,hyp,lc,lyng,lau,neo,pad,spy,uf,rock,sand,sand_depth_mean
21.27933,-157.73224,P0419,2,2025,,2025-02-24,e,,0,20,5,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,10,0,5,70,
21.27969,-157.72712,P0430,3,2025,,2025-03-17,ae,,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,19,268,3.701754386
21.27996,-157.73195,P0454,2,2025,,2025-02-10,e,,8,2,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,90,
21.28005,-157.73157,P0459,2,2025,,2025-02-10,e,,8,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,
21.28059,-157.73021,P0567,7,2025,2011,2025-07-12,a,,3,45,1,0,0,0,22,0,0,0,3,4,3,0,0,0,0,4,0,0,0,0,21,2,0,12,0,0,35,19,2.8
21.28068,-157.73021,P0282,7,2025,2011,2025-07-12,h,,0,35,1,0,0,0,5,0,1,0,0,0,1,0,0,0,0,3,0,0,0,0,17,1,0,5,0,0,42,8,1.666666667
21.28068,-157.7307,P0137,4,2025,2010,2025-04-11,h,,8,39,10,0,0,0,10,0,3,0,2,3,0,0,0,0,0,5,0,0,11,0,0,0,0,0,2,0,53,13,2.25
21.28077,-157.72944,P0636,6,2025,2010,2025-06-26,e,,0,26,0,0,0,0,6,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,56,41,2.153846154
21.28077,-157.73012,P0210,7,2025,2011,2025-07-12,h,,1,30,1,0,0,0,13,0,1,0,6,0,2,0,0,0,0,6,0,0,0,0,9,4,0,2,3,0,48,5,1.5
21.28077,-157.73021,P0639,7,2025,2011,2025-07-12,h,,1,50,4,0,0,0,12,0,0,0,1,3,5,0,0,0,0,1,0,0,0,0,12,5,0,5,10,0,28,4,1
21.28077,-157.73031,P0283,7,2025,,2025-07-12,h,,1,44,6,0,0,0,14,0,5,0,2,7,3,0,0,0,0,2,0,0,0,0,17,5,0,7,6,0,30,12,1.4
21.28077,-157.7305,P0285,7,2025,2010,2025-07-15,h,,0,0,55,0,0,0,6,0,3,0,0,4,1,0,0,0,0,1,0,0,2,0,18,2,0,2,3,0,32,11,1.2
21.28077,-157.7307,P0642,4,2025,2010,2025-04-11,h,,0,27,3,0,0,0,6,0,0,0,0,2,0,0,0,0,0,2,0,0,3,0,0,0,0,3,2,0,33,55,1.894736842
21.28077,-157.73108,P0645,8,2025,2011,2025-08-26,a,,6,53,8,0,0,0,39,0,4,0,1,1,1,0,0,0,0,5,0,0,0,0,67,0,0,0,0,0,11,10,4
21.28086,-157.7305,P0670,4,2025,2010,2025-04-09,h,,0,37,11,0,0,0,5,0,0,0,0,2,0,0,0,0,0,3,0,0,22,0,0,4,0,0,13,0,38,62,3.133333333
21.28086,-157.7306,P0671,4,2025,2010,2025-04-09,h,,0,15,10,0,0,0,2,4,0,0,1,1,0,0,0,0,0,0,0,0,7,0,0,2,0,0,6,0,45,80,3
21.28086,-157.73263,P0379,2,2025,,2025-02-15,h,,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,0,0,0,0,0,0,1,0,0,0,12,162,3.153846154
21.28086,-157.73273,P0380,2,2025,,2025-02-15,h,,8,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,4,0,0,0,0,0,40,72,2.428571429
21.28086,-157.73282,P0381,2,2025,,2025-02-15,E,,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,0,0,0,0,0,0,0,0,6,0,21,0,
21.28086,-157.73302,P0685,2,2025,,2025-02-15,e,,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,22,0,33,79,1.925925926
21.28095,-157.72761,P0686,2,2025,,2025-02-15,h,,1,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,18,0,0,0,0,0,0,0,0,15,0,37,91,1.935483871
21.28095,-157.73118,P0704,3,2025,2010,2025-03-19,h,,0,45,12,0,0,0,7,0,4,0,0,0,0,0,0,0,0,0,0,0,24,0,5,2,0,0,5,0,20,74,2.523809524
21.28095,-157.73176,P0709,6,2025,,2025-06-27,e,,2,54,1,0,0,0,23,0,5,0,1,7,2,0,0,0,0,32,0,0,0,0,62,3,0,0,1,0,18,28,2.5
21.28104,-157.72799,P0715,5,2025,,2025-05-15,e,,17,70,12,0,0,0,1,0,1,0,0,0,0,0,2,0,0,64,0,0,17,0,0,0,0,0,65,0,8,6,2
21.28104,-157.7306,P0729,7,2025,2010,2025-07-25,h,,0,59,36,0,0,0,17,0,7,0,2,17,5,0,0,0,0,0,0,1,0,0,17,4,0,3,38,0,16,140,7.75
21.28104,-157.73263,P0740,5,2025,,2025-05-15,e,,0,10,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,3,0,0,3,0,3,0,0,1,19,0,0,409,4.1125
21.28104,-157.73282,P0741,5,2025,,2025-05-15,e,,2,25,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,49,0,0,13,0,0,0,0,0,49,0,2,302,6.023255814
21.28113,-157.72935,P0053,6,2025,2010,2025-06-12,h,,0,43,39,0,0,0,14,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,29,0,0,0,34,0,15,81,2.857142857
21.28113,-157.72944,P0054,4,2025,2010,2025-04-01,h,,0,57,54,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57,0,5,4,1
21.28113,-157.7306,P0751,7,2025,2010,2025-07-25,q,,0,50,32,0,0,0,10,0,17,0,1,20,4,0,0,0,0,0,0,0,0,0,62,0,0,2,8,0,8,45,1.8125
21.28113,-157.73244,P0767,9,2025,,2025-09-06,e,,3,0,3,8,0,0,24,0,0,0,0,0,10,0,0,0,0,37,0,0,0,0,52,0,0,0,2,0,24,35,1.692307692
21.28122,-157.72935,P0326,4,2025,,2025-04-05,h,,2,51,68,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,9,0,0,0,0,2,0,0,10,14,2.5
21.28122,-157.72944,P0055,4,2025,,2025-04-05,h,,1,56,67,0,0,0,0,0,5,0,0,2,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,12,4,3
21.28122,-157.7306,P0775,7,2025,,2025-07-25,h,,0,11,12,0,0,0,0,0,4,0,0,2,0,0,0,0,0,0,0,0,0,0,6,0,0,0,9,0,56,77,2.5
21.28131,-157.72867,P0170,9,2025,,2025-09-06,a,,9,4,2,8,0,0,27,0,0,0,0,3,15,0,0,0,0,50,0,0,3,0,50,0,0,0,2,0,13,26,1.888888889
21.28131,-157.72877,P0174,9,2025,,2025-09-06,a,,8,1,2,6,0,0,8,0,0,0,0,0,3,0,0,0,0,2,0,0,0,0,16,1,0,0,7,0,66,29,1.9
21.28131,-157.72944,P0337,4,2025,,2025-04-05,h,,0,15,43,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,28,47,1.473684211
21.28131,-157.72983,P0280,6,2025,,2025-06-14,h,,0,36,41,0,8,0,0,0,4,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,26,74,5.166666667
